9013025;452019939270776;26/11/2021 22:38:52;936393096;10
984568785;4520256633776;26/11/2021 21:38:52;01234566;5
7899255455;4586999656633776;21/11/2021 10:38:00;01695236;2
9013025;452019939270776;26/11/2021 22:38:52;936393096;10
984568785;4520256633776;26/11/2021 21:38:52;01234566;5
7899255455;4586999656633776;21/11/2021 10:38:00;01695236;2
9013025;452019939270776;26/11/2021 22:38:52;936393096;10
984568785;4520256633776;26/11/2021 21:38:52;01234566;5
7899255455;4586999656633776;21/11/2021 10:38:00;01695236;2
9013025;452019939270776;26/11/2021 22:38:52;936393096;10
984568785;4520256633776;26/11/2021 21:38:52;01234566;5
7899255455;4586999656633776;21/11/2021 10:38:00;01695236;2
